"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Osman Ahmed Osman","Mountain View, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Price Comparison, Information Technology","Angel, Series B","Egypt","https://www.linkedin.com/in/oaosman","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Pascal Levy-Garboua","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Marketplace","Seed, Pre-Seed, Angel","United States, Morocco, Portugal","http://www.linkedin.com/in/pascallevygarboua","","","https://shizune.co/investors/angel-investors-morocco","","","http://www.2pasc.com","","public_website"
"Patricia Ithau","Nairobi, Kenya","Kenya","Africa-based","inferred_public","Beauty, Retail, Fashion","Seed, Pre-Seed","Kenya","https://www.linkedin.com/in/patriciaithau","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Patrick Pichette","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Artificial Intelligence, Machine Learning, Software","Seed, Series A, Series B","United Kingdom, Germany, Canada","https://www.linkedin.com/in/patrick-pichette-665836105","","","https://shizune.co/investors/saas-angel-investors-kenya","","","","",""
"Patrick Spaulding Ryan","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Information Technology, FinTech, Mobile Apps","Pre-Seed, Seed, Angel","United States, Mexico, Canada","https://www.linkedin.com/in/psrlaw","","","https://shizune.co/investors/b2b-angel-investors-africa","","","http://www.ssrn.com/author=355448","","public_website"
"Paul Breloff","Mumbai, Maharashtra, India","India","Diaspora / outside Africa","exact_public","Banking, FinTech, Mobile Payments","Seed, Pre-Seed","Mexico, South Africa, United States","https://www.linkedin.com/in/paul-breloff","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Paul Buchheit","Mountain View, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Health Care, E-Commerce","Seed, Series A, Angel","United States, Canada, India","https://www.linkedin.com/in/paul-buchheit-744250a","","","https://shizune.co/investors/angel-investors-egypt","","Biolink","https://biolink.me/bonus","Official linked site domain","company_or_firm_site"
"Paul Graham","Mountain View, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, SaaS, Information Technology, Enterprise Software","Seed, Series A, Angel","United States, Egypt, India, Canada","https://www.linkedin.com/in/paul-graham-865b4692","","","https://shizune.co/investors/angel-investors-egypt","","","https://paulgraham.com/articles.html","","personal_site"
"Paul Kimani","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Billing, Software, Business Development","Pre-Seed","Kenya","https://www.linkedin.com/in/paul-kimani","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Paul Kokoricha","Ikoyi, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Internet, B2B, Software","Private Equity, Seed","Mauritius, Nigeria","https://www.linkedin.com/in/paul-kokoricha-26779285","","","https://shizune.co/investors/b2b-angel-investors-africa","","","","",""
"Paul Liberman","Boston, Massachusetts, United States","United States","Diaspora / outside Africa","exact_public","Gaming, Agriculture, Oil and Gas","Seed, Series A","Liberia, United States","https://www.linkedin.com/in/pliberman","","","https://shizune.co/investors/climate-angel-investors-africa","","","","",""
"Peeyush Ranjan","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","SaaS, Internet, Software","Seed, Series B, Series A","United States, India, Tanzania","https://www.linkedin.com/in/peeyushr","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Peggy Grigus Mangot","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Information Technology","Pre-Seed, Seed, Series A","United States, Uganda","https://www.linkedin.com/in/peggymangot","","","https://shizune.co/investors/angel-investors-uganda","","","http://about.sparkgift.com/","","public_website"
"Peter Bruce-Clark","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","InsurTech, Financial Services","Seed","Kenya","https://www.linkedin.com/in/pbclark","","","https://shizune.co/investors/angel-investors-kenya","","Social Impact Capital","https://social-impact-capital.com/","Official linked site metadata","company_or_firm_site"
"Peter Kenevan","","","Unresolved","unresolved","Automotive, Marketplace","Seed","Kenya","https://www.linkedin.com/in/peter-kenevan-765a73","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Peter Kisadha","Kampala, Kampala, Uganda","Uganda","Africa-based","exact_public","Blockchain, Cryptocurrency","Pre-Seed","Nigeria","https://www.linkedin.com/in/peter-kisadha","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","","",""
"Peter Njonjo","","","Unresolved","unresolved","Fashion, Software, E-Commerce","Pre-Seed","Kenya, United States","https://www.linkedin.com/in/peter-njonjo-867167156","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Peter Sandberg","Copenhagen, Hovedstaden, Denmark","Denmark","Diaspora / outside Africa","exact_public","Internet, Artificial Intelligence, Mobile Payments, FinTech","Angel, Pre-Seed, Secondary Market","Denmark, Kenya, Estonia","https://www.linkedin.com/in/peter-sandberg-88493b1","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Peter Thiel","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Financial Services, FinTech","Series A, Seed, Series B","United States, Germany, Canada","http://www.linkedin.com/in/peterthiel","","","https://shizune.co/investors/angel-investors-ghana","","","","",""
"Philippe Teixeira da Mota","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Software","Seed, Pre-Seed, Series A","United Kingdom, Germany, United States","https://www.linkedin.com/in/pteixeiradamota","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Phillip Sebole Masango","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Information Technology, Artificial Intelligence, Software Engineering","Seed, Series A, Private Equity","South Africa","https://www.linkedin.com/in/phillipsms","","","https://shizune.co/investors/angel-investors-south-africa","","","https://www.eclipde.com","","public_website"
"Pierre Martensson","","","Unresolved","unresolved","Beauty, Retail, Consumer","Seed","Kenya","https://www.linkedin.com/in/pierre-martensson-23875311","","","https://shizune.co/investors/beauty-angel-investors-africa","","","","",""
"Piers Kicks","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Blockchain, Gaming, Web3","Seed, Series A, Angel","United States, Canada, Liberia","https://www.linkedin.com/in/pierskicks","","","https://shizune.co/investors/mobile-angel-investors-africa","","","","",""
"Polo Leteka","Johannesburg, South Africa, South Africa","South Africa","Africa-based","exact_public","Retail, Internet, Logistics","Seed, Series B","South Africa","https://www.linkedin.com/in/polo-leteka-3a677212","","","https://shizune.co/investors/enterprise-angel-investors-africa","","","","",""
"Prosper Otemuyiwa","","","Unresolved","unresolved","FinTech, CRM, Telecommunications, Hardware, Software, Financial","Pre-Seed, Angel","Nigeria, Canada, United States","https://www.linkedin.com/in/prosperotemuyiwa","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Raffael Johnen","Düsseldorf, Nordrhein-Westfalen, Germany","Germany","Diaspora / outside Africa","exact_public","Payments, Software, FinTech, Financial","Seed, Pre-Seed, Series A","Nigeria, Germany, Australia, France","https://www.linkedin.com/in/raffael-johnen-97942a","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Ragnar Sass","","","Unresolved","unresolved","Information Technology, Software, SaaS","Seed, Pre-Seed, Funding Round","Estonia, United States, Ukraine","http://www.linkedin.com/in/ragnarsass","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Rajesh Sawhney","Gurgaon, Haryana, India · 2 investments in the past 12 months","India","Diaspora / outside Africa","exact_public","Software, E-Commerce, Artificial Intelligence, Internet","Seed, Pre-Seed, Angel","India, Singapore, United States","http://www.linkedin.com/pub/rajesh-sawhney/0/455/6b3","","","https://shizune.co/investors/angel-investors-kenya","","","https://shrt.autos/crunch","","public_website"
"Reid Hoffman","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Social Media, Internet","Series A, Seed, Series B","United States, United Kingdom, Canada","http://www.linkedin.com/in/reidhoffman","","","https://shizune.co/investors/angel-investors-ghana","","","https://www.reidhoffman.org/","","personal_site"
"Rene Reinsberg","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Cryptocurrency, Blockchain, Software","Seed, Pre-Seed, Series A","United States, Canada, Israel","https://www.linkedin.com/in/reinsberg","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","","",""
"Richard Aseme","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Credit, InsurTech","Seed, Angel","Egypt, United States","https://www.linkedin.com/in/richard-aseme","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Richard Owen","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","SaaS, Mobile, Cloud Computing","Series A","Kenya","https://www.linkedin.com/in/richard-owen-98ba3","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Richmond Bassey","Lekki, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Payments, Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/richmondbassey","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Rob Solomon","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Information Technology, FinTech, Software","Seed, Angel, Series C","United States, India, Nigeria","https://www.linkedin.com/in/robsolomon","","","https://shizune.co/investors/software-angel-investors-nigeria","","","","",""
"Robby Hilkowitz","","","Unresolved","unresolved","Financial Services, FinTech, Payments","Series A, Seed, Funding Round","Israel, Hong Kong, Singapore","https://www.linkedin.com/in/robby-hilkowitz-17b90933","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Robert Herjavec","Toronto, Ontario, Canada","Canada","Diaspora / outside Africa","exact_public","Health Care, Pet, Consumer Electronics","Seed, Angel, Pre-Seed","United States, Nigeria","https://www.linkedin.com/in/robertherjavec","robert@hec.com.au","https://robertherjavec.com/","https://shizune.co/investors/food-and-beverage-angel-investors-africa","Public business email retained after QA","","https://robertherjavec.com/","","personal_site"
"Roger Ver","Tokyo, Tokyo, Japan","Japan","Diaspora / outside Africa","exact_public","Bitcoin, FinTech, Cryptocurrency","Seed, Funding Round","United States, Panama, Sweden","https://www.linkedin.com/in/rogerver","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","","",""
"Ronald Chagoury Jr.","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/ronald-chagoury-jr","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","http://RonaldChagouryJr.com","","public_website"
"Ross Lipson","Bend, Oregon, United States","United States","Diaspora / outside Africa","exact_public","Logistics, E-Commerce, Internet","Seed, Series A","United States, Mexico, India","https://www.linkedin.com/in/ross-lipson-477b0814a","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Rus Newton","","","Unresolved","unresolved","IaaS, Mining, Bitcoin","Seed","Kenya, Canada","https://www.linkedin.com/in/rus-newton-371419","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Ryan Bethencourt","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Biotechnology, Food Processing, Food and Beverage","Pre-Seed, Seed, Angel","United States, Chile, India","http://www.linkedin.com/in/bethencourt","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Ryan King","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Finance, Software","Series A, Series B","United States","http://www.linkedin.com/in/ryanaking","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Ryan Petersen","San Francisco, California, United States · 2 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Financial Services, FinTech","Seed, Series A, Series B","United States, India, Brazil","http://www.linkedin.com/in/rpetersen","","","https://shizune.co/investors/transportation-angel-investors-africa","","","","",""
"Sahil Lavingia","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, FinTech, IT, Other","Seed, Pre-Seed, Series A","United States, Canada, India","https://www.linkedin.com/pub/sahil-lavingia/54/648/103","","","https://shizune.co/investors/angel-investors-nigeria","","","https://sahillavingia.com/","","personal_site"
"Sajid Rahman","Jakarta, Jakarta Raya, Indonesia","Indonesia","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Finance","Seed, Pre-Seed, Funding Round","India, Nigeria, Kenya","https://www.linkedin.com/in/rahmansajid","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Sam Altman","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Internet","Seed, Series A, Series B","United States, Canada, Ghana","https://www.linkedin.com/in/sam-altman-827a33179","","","https://shizune.co/investors/angel-investors-ghana","","Sam Altman","https://blog.samaltman.com/","Official linked site metadata","company_or_firm_site"
"Samir Goel","New York, New York, United States · 2 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","SaaS, Financial Services, FinTech, Legal, Advice","Seed, Funding Round, Pre-Seed","Nigeria, United States, United Kingdom","https://www.linkedin.com/in/goelsamir","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","Samir Goel","https://www.linkedin.com/in/goelsamir/","Official linked site title","company_or_firm_site"
"Samson Goddy","","","Unresolved","unresolved","Software, CRM, Telecommunications, Hardware, Internet","Angel","Nigeria","https://www.linkedin.com/in/samsongoddy","","","https://shizune.co/investors/internet-angel-investors-africa","","","https://samsongoddy.com/","","public_website"
"Samson Larsson","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Delivery, Logistics, E-Commerce","Pre-Seed","Kenya","https://www.linkedin.com/in/samsonlarsson","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Samuel Z. Alemayehu","","","Unresolved","unresolved","SMS, Machine Learning, Artificial Intelligence","Series A, Seed, Series B","Cameroon, Ethiopia, Singapore","https://www.linkedin.com/in/samuelalemayehu","","","https://shizune.co/investors/climate-angel-investors-africa","","","https://www.weforum.org/people/samuel-alemayehu","","public_website"
"Samvit Ramadurgam","Berkeley, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Analytics, Financial Services","Seed, Series A, Funding Round","United States, India, Spain","http://www.linkedin.com/in/samvit","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","http://samvitr.com","","public_website"
"Sandeep Nailwal","Mumbai, Maharashtra, India · 33 investments in the past 12 months","India","Diaspora / outside Africa","exact_public","Blockchain, Cryptocurrency, Financial Services","Seed, Pre-Seed, Series A","United States, India, Singapore","https://www.linkedin.com/in/sandeep-nailwal-60709a33","","","https://shizune.co/investors/angel-investors-nigeria","","","https://www.livetvmesh.com/","","company_or_firm_site"
"Sandy Kory","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Analytics, FinTech","Seed, Series A, Convertible Note","United States, Australia, Canada","http://www.linkedin.com/in/sandykory","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Sangu Delle","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Health Care, B2B, FinTech","Seed, Series A, Series B","Ghana, United States, Germany","https://www.linkedin.com/in/sdelle","","","https://shizune.co/investors/angel-investors-ghana","","","","",""
"Sanjeev Barnwal","Bengaluru, Karnataka, India","India","Diaspora / outside Africa","exact_public","Internet, Apps, Financial Services","Seed, Series A, Pre-Seed","India, Kenya, Vietnam","https://in.linkedin.com/in/sanjeev-barnwal-4099341b","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Santiago Roel Santos","3 investments in the past 12 months","","Unresolved","exact_public","Blockchain, Financial Services, Gaming","Seed, Series A, Funding Round","United States, Singapore, Australia","https://www.linkedin.com/in/santiago-santos-25841811b","","","https://shizune.co/investors/mobile-angel-investors-africa","","","","",""
"Sarah Dusek","Great Falls, Montana, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, Solar, Energy","Seed, Angel, Funding Round","South Africa, Uganda, Zambia","https://www.linkedin.com/in/sarah-dusek-0b630ab","","","https://shizune.co/investors/angel-investors-uganda","","Under Canvas®","https://www.undercanvas.com/","Official linked site metadata","company_or_firm_site"
"Scooter Braun","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Wellness, Internet","Seed, Series A, Series B","United States, Egypt, Norway","https://www.linkedin.com/in/scooterbraun","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","http://scooterbraun.com","","public_website"
"Sebastian Stoddart","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Rental, Internet, Analytics","Seed, Angel, Pre-Seed","United Kingdom, South Africa","https://www.linkedin.com/in/sebastianstoddart","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Selma Ribica","","","Unresolved","unresolved","Payments, Apps, Retail","Pre-Seed, Seed","Kenya, Morocco, Nigeria","https://www.linkedin.com/in/selmaribica","","","https://shizune.co/investors/health-care-angel-investors-africa","","","","",""
"Shane Neman","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","Health Care, Software, Artificial Intelligence","Seed, Series A, Funding Round","United States, Kenya, Spain","http://www.linkedin.com/in/shaneneman","","","https://shizune.co/investors/health-care-angel-investors-africa","","","https://www.shaneneman.com/","","personal_site"
"Shintaro Yamada","Tokyo, Tokyo, Japan","Japan","Diaspora / outside Africa","exact_public","Internet, Finance, Artificial Intelligence","Seed, Angel, Funding Round","Japan, United States, Kenya","https://www.linkedin.com/in/suadd","","","https://shizune.co/investors/automotive-angel-investors-africa","","About suadd – suadd blog","https://suadd.com/wp/about","Official linked site title","company_or_firm_site"
"Shola Akinlade","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Education, Financial Services","Pre-Seed, Seed","Nigeria, Kenya, Rwanda","https://www.linkedin.com/in/shollsman","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Shravin Bharti Mittal","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Health Care, Fitness, Wellness","Series B, Series A, Seed","India, Ghana, Germany","https://www.linkedin.com/in/shravin-bharti-mittal-b5561843","","","https://shizune.co/investors/angel-investors-ghana","","","","",""
"Sima Gandhi","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Software, Financial Services","Seed, Series A","United States, Indonesia, South Africa","https://www.linkedin.com/in/sima-gandhi","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Simon Borrero","Mexico City, Distrito Federal, Mexico","Mexico","Diaspora / outside Africa","exact_public","E-Commerce, Mobile Apps, Information Technology","Seed, Pre-Seed, Series A","Colombia, Brazil, United States","https://www.linkedin.com/in/simonborrero","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Simon Rowlands","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, Analytics, Machine Learning","Seed","Egypt","https://www.linkedin.com/in/simon-rowlands-4a4459115","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Sina Afra","Istanbul, Istanbul, Turkey","Turkey","Diaspora / outside Africa","exact_public","E-Commerce, Fashion, Internet","Seed, Series A, Angel","Turkey, United States, Germany","https://www.linkedin.com/in/sinaafra","","","https://shizune.co/investors/angel-investors-south-africa","Public business email retained after QA","","https://www.sinaafra.com/","","personal_site"
"Sriram Krishnan","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, SaaS, IT, Financial","Seed, Series A, Pre-Seed","United States, India, United Kingdom","http://www.linkedin.com/in/sriramkrishnan01","sriramk_mail@protonmail.com","http://sriramk.com/","https://shizune.co/investors/finance-angel-investors-africa","Public business email retained after QA","","http://sriramk.com/","","personal_site"
"Stephen Pagliuca","Boston, Massachusetts, United States","United States","Diaspora / outside Africa","exact_public","Information Technology, Software, Media and Entertainment","Series B, Series A, Series C","United States, India, Nigeria","https://www.linkedin.com/in/stevepagliuca","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Steven Tamm","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Analytics, Information Technology","Seed","United States, Kenya","http://www.linkedin.com/in/steventamm","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Sudeep Ramnani","Dubai, Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","Credit, FinTech, InsurTech","Seed, Angel","Nigeria, United States","https://www.linkedin.com/in/sudeep-r-2a7b0171","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Susan Kimberlin","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Information Technology","Seed, Pre-Seed","United States, Kenya, Denmark","https://www.linkedin.com/in/susankimberlin","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Takuma Terakubo","","","Unresolved","unresolved","Mobile Apps, Artificial Intelligence, Software","Seed, Pre-Seed, Funding Round, Series A","Kenya, Nigeria, Togo","https://www.linkedin.com/in/takuma-terakubo-5a53281a1","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Tarek Fahim","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","Health Care, Medical, Software","Seed, Convertible Note, Angel","Egypt","https://www.linkedin.com/in/tarekfahim","","","https://shizune.co/investors/health-care-angel-investors-egypt","","","","",""
"Tarek Roushdy","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","Software, Consulting, Service Industry","Seed, Angel, Series A","Egypt, United Kingdom","https://eg.linkedin.com/in/tarek-roushdy-","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Tayo Oviosu","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services, Artificial Intelligence, Information Technology, Software, Apps, Sales/Marketing","Angel, Seed, Pre-Seed","Nigeria, Brazil, United States","https://www.linkedin.com/in/tayo-oviosu-0a9a765","","","https://shizune.co/investors/angel-investors-nigeria","","","http://www.paga.com/","","public_website"
"Thibault Poutrel","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Software, Enterprise Software, Financial Services","Seed, Pre-Seed, Funding Round","France, Cameroon, United States","https://www.linkedin.com/in/thibault-poutrel-83777","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Tidjane Deme","","","Unresolved","unresolved","Financial Services, FinTech, Mobile Payments","Series A, Series B, Seed","Nigeria, Egypt, Uganda","https://www.linkedin.com/in/tidjane-deme-a115b11","","","https://shizune.co/investors/angel-investors-uganda","","Partech","https://partechpartners.com/","Official linked site metadata","company_or_firm_site"
"Tim Draper","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Financial Services","Seed, Series A, Series B","United States, United Kingdom, Canada","https://www.linkedin.com/in/timothydraper","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Tim Parsonson","Cambridge, Cambridgeshire, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Mobile, Shopping, E-Commerce","Angel","South Africa","https://www.linkedin.com/in/tim-parsonson-33a3","","","https://shizune.co/investors/marketplace-angel-investors-south-africa","","","","",""
"Tom Berckt","","","Unresolved","unresolved","Apps, Events, Printing","Angel","South Africa","http://www.linkedin.com/pub/tom-van-den-berckt/0/527/174","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Tom Blomfield","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, FinTech, Artificial Intelligence, Financial Services","Pre-Seed, Seed, Series A","United States, United Kingdom, Canada, Kenya","https://www.linkedin.com/in/tomblomfield","","","https://shizune.co/investors/angel-investors-kenya","","","https://tomblomfield.com/","","personal_site"
"Tom Stafford","Hong Kong, Hong Kong Island, Hong Kong","Hong Kong","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Finance, Financial, Software, Commerce/Shopping","Series A, Series B, Series C","United Kingdom, Germany, France","https://www.linkedin.com/in/tom-stafford-096b0439","","","https://shizune.co/investors/angel-investors-morocco","","","","",""
"Tomasz Gasienica-Szostak","","","Unresolved","unresolved","Logistics, Last Mile Transportation","Pre-Seed","Kenya","https://www.linkedin.com/in/tomasz-gasienica-szostak-cfa-279b175","","","https://shizune.co/investors/angel-investors-kenya","","m","https://mloka.com/","Official linked site title","company_or_firm_site"
"Tristan Walker","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Beauty, Health Care, Artificial Intelligence","Seed, Pre-Seed, Series B","United States, Nigeria","http://www.linkedin.com/in/tristanwalker","","","https://shizune.co/investors/b2b-angel-investors-africa","","","http://www.JustTristan.com","","public_website"
"Trond Riiber Knudsen","Oslo, Oslo, Norway · 4 investments in the past 12 months","Norway","Diaspora / outside Africa","exact_public","Software, Construction, SaaS","Seed, Pre-Seed, Angel","Norway, United States, Kenya","https://www.linkedin.com/in/trond-riiber-knudsen-3968135","trond@trkgroup.no","http://www.trkgroup.no/contact.html","https://shizune.co/investors/angel-investors-kenya","Public business email retained after QA","About TRK Group","http://www.trkgroup.no/about.html","Official linked site title","company_or_firm_site"
"Tunji Banwo","","","Unresolved","unresolved","FinTech, Financial Services","Pre-Seed","Nigeria","http://linkedin.com/in/tunjibanwo","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Tushar Ahluwalia","","","Unresolved","unresolved","Retail, InsurTech, Insurance","Seed, Pre-Seed, Angel","Germany, Mexico, South Africa","https://www.linkedin.com/in/tushar-ahluwalia","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Tyler Scriven","Atlanta, Georgia, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Food Processing, Financial, Real Estate, Software","Seed, Funding Round, Convertible Note","United States, Nigeria","https://www.linkedin.com/in/tylerscriven","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Ugochukwu Aronu","","","Unresolved","unresolved","Drones, Energy, Delivery","Pre-Seed","Nigeria","https://www.linkedin.com/in/ugochukwu-aronu-4477a59b","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Uwe Sandner","","","Unresolved","unresolved","FinTech, Internet, Price Comparison","Seed","Nigeria","http://www.linkedin.com/in/uwesandner","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Vaibhav Kapoor","Dubai, Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Finance","Seed, Series A, Series B","India, Kenya","https://www.linkedin.com/in/vaibhav-kapoor-profile","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Varsha Rao","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Health Care, Software, Artificial Intelligence","Seed, Series A, Series B","United States, India, France","https://www.linkedin.com/in/varsharao","","","https://shizune.co/investors/marketplace-angel-investors-nigeria","","","https://www.varsharao.com/","","personal_site"
"Victor Asemota","","","Unresolved","unresolved","Credit, Banking, FinTech","Pre-Seed, Funding Round","Kenya, United States","https://www.linkedin.com/in/asemota","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Victoria van Lennep","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Finance","Series A, Seed, Pre-Seed","United Kingdom, France, Spain","https://www.linkedin.com/in/victoria-van-lennep-34838857","","","https://shizune.co/investors/automotive-angel-investors-africa","","","","",""
"Vidit Aatrey","Bengaluru, Karnataka, India","India","Diaspora / outside Africa","exact_public","Internet, Education, E-Commerce","Seed, Series A, Pre-Seed","India, Kenya, Sweden","https://in.linkedin.com/in/vidit-aatrey-a3639120","","","https://shizune.co/investors/marketplace-angel-investors-kenya","","","https://winning168.com/racaballlai/","","public_website"
